149	1
149	2
3	1
3	2
6	1
6	2
135	1
135	2
8	1
8	2
9	1
9	2
10	1
10	2
139	1
139	2
140	1
140	2
14	1
14	2
18	1
18	2
131	1
131	2
148	1
148	2
21	1
21	2
150	1
150	2
23	1
23	2
152	1
152	2
25	1
25	2
27	1
27	2
29	1
29	2
31	1
31	2
33	1
33	2
38	1
38	2
41	1
41	2
44	1
44	2
45	1
45	2
142	1
142	2
48	1
48	2
136	1
136	2
52	1
52	2
55	1
55	2
151	1
151	2
66	1
66	2
67	1
67	2
69	1
69	2
74	1
74	2
77	1
77	2
79	1
79	2
80	1
80	2
82	1
82	2
84	1
84	2
85	1
85	2
88	1
88	2
89	1
89	2
92	1
92	2
93	1
93	2
94	1
94	2
95	1
95	2
97	1
97	2
99	1
99	2
101	1
101	2
105	1
105	2
106	1
106	2
107	1
107	2
109	1
109	2
115	1
115	2
121	1
121	2
122	1
122	2
124	1
124	2
127	1
127	2
