4	1	0
4	2	1
5	1	1
5	2	0
7	1	0
7	2	1
11	1	0
11	2	1
12	1	0
12	2	1
13	1	0
13	2	1
15	1	0
15	2	1
16	1	1
16	2	0
17	1	1
17	2	0
19	1	0
19	2	1
20	1	1
20	2	0
22	1	0
22	2	1
24	1	0
24	2	1
26	1	0
26	2	1
28	1	1
28	2	0
30	1	0
30	2	1
32	1	0
32	2	1
34	1	1
34	2	0
35	1	0
35	2	1
36	1	0
36	2	1
37	1	0
37	2	1
39	1	0
39	2	1
40	1	1
40	2	0
42	1	0
42	2	1
43	1	0
43	2	1
46	1	1
46	2	0
47	1	0
47	2	1
49	1	0
49	2	1
50	1	0
50	2	1
51	1	1
51	2	0
53	1	1
53	2	0
54	1	1
54	2	0
56	1	1
56	2	0
57	1	1
57	2	0
58	1	1
58	2	0
59	1	0
59	2	1
60	1	1
60	2	0
61	1	1
61	2	0
62	1	0
62	2	1
63	1	1
63	2	0
64	1	0
64	2	1
65	1	0
65	2	1
68	1	1
68	2	0
70	1	0
70	2	1
71	1	1
71	2	0
72	1	0
72	2	1
73	1	0
73	2	1
75	1	1
75	2	0
76	1	1
76	2	0
78	1	0
78	2	1
81	1	0
81	2	1
83	1	1
83	2	0
86	1	1
86	2	0
87	1	0
87	2	1
90	1	1
90	2	0
91	1	0
91	2	1
96	1	1
96	2	0
98	1	0
98	2	1
100	1	1
100	2	0
102	1	1
102	2	0
103	1	0
103	2	1
104	1	0
104	2	1
108	1	1
108	2	0
110	1	1
110	2	0
111	1	1
111	2	0
112	1	1
112	2	0
113	1	1
113	2	0
114	1	0
114	2	1
116	1	1
116	2	0
117	1	1
117	2	0
118	1	1
118	2	0
119	1	0
119	2	1
120	1	1
120	2	0
123	1	1
123	2	0
125	1	0
125	2	1
126	1	1
126	2	0
128	1	0
128	2	1
129	1	1
129	2	0
130	1	0
130	2	1
132	1	0
132	2	1
133	1	1
133	2	0
134	1	0
134	2	1
137	1	0
137	2	1
138	1	1
138	2	0
141	1	1
141	2	0
143	1	1
143	2	0
144	1	1
144	2	0
145	1	1
145	2	0
146	1	1
146	2	0
147	1	1
147	2	0
