149	1	0.124
149	2	0.907
3	1	0.940
3	2	0.548
6	1	0.447
6	2	1.000
135	1	0.520
135	2	0.240
8	1	0.786
8	2	0.178
9	1	0.216
9	2	0.684
10	1	0.208
10	2	0.733
139	1	0.737
139	2	1.000
140	1	0.000
140	2	0.772
14	1	0.240
14	2	0.759
18	1	0.651
18	2	0.310
131	1	0.539
131	2	0.748
148	1	0.923
148	2	0.312
21	1	0.632
21	2	0.848
150	1	0.371
150	2	0.526
23	1	1.000
23	2	0.386
152	1	0.953
152	2	0.485
25	1	0.714
25	2	0.425
27	1	0.385
27	2	0.565
29	1	0.228
29	2	0.749
31	1	1.000
31	2	0.832
33	1	0.463
33	2	1.000
38	1	0.342
38	2	0.588
41	1	1.000
41	2	0.599
44	1	0.196
44	2	0.765
45	1	0.005
45	2	0.544
142	1	0.398
142	2	0.163
48	1	0.327
48	2	0.526
136	1	0.265
136	2	0.914
52	1	0.180
52	2	0.544
55	1	0.557
55	2	0.875
151	1	0.776
151	2	0.343
66	1	0.927
66	2	0.281
67	1	0.813
67	2	0.535
69	1	0.683
69	2	1.000
74	1	0.212
74	2	0.177
77	1	0.648
77	2	0.072
79	1	0.484
79	2	0.497
80	1	1.000
80	2	0.510
82	1	0.944
82	2	0.000
84	1	0.465
84	2	0.883
85	1	0.191
85	2	0.616
88	1	0.734
88	2	0.542
89	1	0.624
89	2	0.169
92	1	0.623
92	2	0.276
93	1	0.344
93	2	0.222
94	1	1.000
94	2	0.306
95	1	0.589
95	2	0.346
97	1	0.448
97	2	0.925
99	1	0.669
99	2	0.444
101	1	0.283
101	2	0.562
105	1	0.000
105	2	0.899
106	1	0.491
106	2	0.263
107	1	0.259
107	2	0.875
109	1	0.958
109	2	0.382
115	1	0.824
115	2	0.348
121	1	0.839
121	2	0.116
122	1	0.407
122	2	0.251
124	1	0.213
124	2	0.727
127	1	0.179
127	2	0.578
