149	1	0
149	2	1
3	1	1
3	2	0
6	1	0
6	2	1
135	1	1
135	2	0
8	1	1
8	2	0
9	1	0
9	2	1
10	1	0
10	2	1
139	1	0
139	2	1
140	1	0
140	2	1
14	1	0
14	2	1
18	1	1
18	2	0
131	1	0
131	2	1
148	1	1
148	2	0
21	1	0
21	2	1
150	1	0
150	2	1
23	1	1
23	2	0
152	1	1
152	2	0
25	1	1
25	2	0
27	1	0
27	2	1
29	1	0
29	2	1
31	1	1
31	2	0
33	1	0
33	2	1
38	1	0
38	2	1
41	1	1
41	2	0
44	1	0
44	2	1
45	1	0
45	2	1
142	1	1
142	2	0
48	1	0
48	2	1
136	1	0
136	2	1
52	1	0
52	2	1
55	1	0
55	2	1
151	1	1
151	2	0
66	1	1
66	2	0
67	1	1
67	2	0
69	1	0
69	2	1
74	1	0
74	2	1
77	1	1
77	2	0
79	1	0
79	2	1
80	1	1
80	2	0
82	1	1
82	2	0
84	1	0
84	2	1
85	1	0
85	2	1
88	1	1
88	2	0
89	1	1
89	2	0
92	1	1
92	2	0
93	1	0
93	2	1
94	1	1
94	2	0
95	1	1
95	2	0
97	1	0
97	2	1
99	1	1
99	2	0
101	1	1
101	2	0
105	1	0
105	2	1
106	1	1
106	2	0
107	1	0
107	2	1
109	1	1
109	2	0
115	1	1
115	2	0
121	1	1
121	2	0
122	1	1
122	2	0
124	1	0
124	2	1
127	1	0
127	2	1
